benchmark_name,migration_mechanism,average_execution_time(ms),execution_time_deviation,migration_bandwidth(MB/GCycles)
503.postencil,all-local-access,27964.20,89.26,0
503.postencil,pmem-optimized,206516.40,3385.19,171.00465884290165
503.postencil,exchange-pages,313945.20,20602.31,87.0325238579126
503.postencil,basic-exchange-pages,282380.80,6926.13,94.22428836014778
503.postencil,thp-migration,408415.60,65484.29,66.44425186407689
503.postencil,opt-migration,392752.40,42631.00,63.777776852227944
503.postencil,all-remote-access,294587.40,1703.14,0
504.polbm,all-local-access,19960.60,108.73,0
504.polbm,pmem-optimized,124230.20,681.06,267.16249029040597
504.polbm,exchange-pages,189620.40,6988.82,113.39419437217585
504.polbm,basic-exchange-pages,161683.40,3621.72,135.3909547753764
504.polbm,thp-migration,212263.40,21296.74,76.71775770975633
504.polbm,opt-migration,184760.80,1467.10,82.58373278621318
504.polbm,all-remote-access,180759.80,243.26,0
553.pclvrleaf,all-local-access,21671.80,79.74,0
553.pclvrleaf,pmem-optimized,230582.60,4791.82,127.67786967524468
553.pclvrleaf,exchange-pages,386258.20,25070.17,79.00934272363972
553.pclvrleaf,basic-exchange-pages,329129.40,12753.01,81.09710143135524
553.pclvrleaf,thp-migration,404967.60,7929.60,59.19938558183001
553.pclvrleaf,opt-migration,418629.40,4277.38,65.0740885258108
553.pclvrleaf,all-remote-access,397667.80,1628.66,0
555.pseismic,all-local-access,19727.60,27.13,0
555.pseismic,pmem-optimized,219299.20,7998.34,192.3829225118745
555.pseismic,exchange-pages,286738.00,4103.90,110.21733036116834
555.pseismic,basic-exchange-pages,288023.20,2868.37,111.87844709737985
555.pseismic,thp-migration,337294.00,12020.48,74.34731236428722
555.pseismic,opt-migration,321095.00,2428.18,81.43652902818829
555.pseismic,all-remote-access,300016.20,289.28,0
